,ID,Age,Gender,Marrige,Education,Bank_Credit_Condition,Housing_Condition,Old_Client,Current_Job_Working_Years,Loan_Amount,Loan_Purpose,Loan_Period,Monthly_Interest_Rate,Breach_Monthly_Interest_Rate,Other_Loan,Collateral,Way_of_Mortgage,Full_Value,Client_Category,Loan_Time
346,1212004,44,男,已婚,初中,无,自有,是,168,1000000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2012-12-14
347,1212005,50,男,已婚,小学,无,自有,是,48,300000,经营,12,0.015,0.0195,信用社贷款,无,担保,否,无逾期,2012-12-17
348,1212006,28,男,已婚,大专,无,自有,否,48,500000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2012-12-20
349,1212007,49,男,已婚,本科及以上,无,自有,是,120,1400000,经营,12,0.0135,0.01755,无,无,担保,否,无逾期,2012-12-20
350,1212009,56,男,已婚,小学,无,自有,是,216,300000,经营,6,0.0123,0.01599,无,无,担保,否,无逾期,2012-12-19
351,1212010,33,女,已婚,高中,无,自有,是,60,300000,经营,12,0.015,0.0195,无,无,担保,否,无逾期,2012-12-19
352,1212011,42,男,已婚,高中,无,自有,是,216,700000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2012-12-20
353,1212012,36,女,离异,初中,无,自有,是,60,850000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2012-12-21
354,1212014,34,男,已婚,高中,无,自有,是,60,1000000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2012-12-26
355,1212015,26,男,已婚,高中,有违约,自有,是,60,700000,经营,12,0.0126,0.01638,银行贷款,无,担保,否,无逾期,2012-12-24
356,1212016,30,男,已婚,初中,无,自有,是,120,800000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2012-12-27
357,1212017,40,男,已婚,初中,无,自有,是,240,1000000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2012-12-24
358,1212019,42,男,已婚,初中,无,自有,是,48,50000,经营,12,0.0123,0.01599,无,无,担保,否,无逾期,2012-12-25
359,1212020,33,男,已婚,初中,无,自有,是,84,100000,经营,12,0.015,0.0195,无,有,抵押,否,无逾期,2012-12-27
360,1212021,27,女,已婚,大专,无,自有,否,36,500000,经营,6,0.0147,0.01911,无,有,抵押,是,无逾期,2012-12-28
361,1212022,34,男,已婚,高中,无,自有,否,96,200000,经营,9,0.015,0.0195,无,有,抵押,是,无逾期,2012-12-28
362,1212023,24,男,未婚,中专,无,自有,是,24,2600000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2012-12-28
363,1212025,45,男,已婚,初中,无,自有,是,48,30000,经营,12,0.015,0.0195,无,无,担保,否,无逾期,2012-12-28
364,1301003,41,男,已婚,高中,无,自有,是,108,250000,养殖经营,12,0.015,0.0195,无,无,担保,否,无逾期,2013-01-09
365,1301004,37,男,已婚,高中,无,自有,是,84,1000000,经营,12,0.0141,0.01833,无,有,抵押,否,无逾期,2013-01-08
366,1301006,41,女,已婚,初中,无,自有,是,144,800000,经营,12,0.0126,0.01638,无,有,抵押,是,无逾期,2013-01-14
367,1301007,44,女,已婚,初中,无,自有,是,192,600000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2013-01-11
368,1301008,40,女,已婚,高中,无,自有,否,120,1000000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2013-01-21
369,1301009,45,男,已婚,初中,无,自有,是,156,300000,经营,12,0.015,0.0195,银行贷款,无,担保,否,无逾期,2013-01-18
370,1302001,46,女,离异,高中,无,自有,是,96,600000,经营,12,0.0147,0.01911,无,无,担保,否,无逾期,2013-02-01
371,1303001,50,男,已婚,高中,有违约,自有,是,108,1000000,经营,12,0.0141,0.01833,有,有,抵押,是,无逾期,2013-03-06
372,1303004,44,男,已婚,初中,无,自有,是,240,1000000,经营,6,0.0123,0.01599,无,有,抵押,是,无逾期,2013-03-19
373,1303006,32,男,已婚,中专,无,自有,否,96,300000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2013-03-28
374,1303007,30,男,已婚,高中,有违约,自有,是,96,1000000,经营,12,0.0126,0.01638,银行贷款,有,抵押,否,无逾期,2013-03-28
375,1304001,58,男,已婚,小学,无,自有,否,240,300000,经营,6,0.0138,0.01794,无,有,抵押,是,无逾期,2013-04-16
376,1304002,36,男,已婚,大专,无,自有,是,60,500000,经营,12,0.015,0.0195,无,无,担保,否,无逾期,2013-04-10
377,1304003,41,男,已婚,大专,有违约,自有,否,240,800000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2013-04-09
378,1304004,35,男,已婚,初中,无,自有,是,96,300000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2013-04-12
379,1304005,33,男,已婚,初中,无,自有,是,156,1000000,经营,12,0.0126,0.01638,银行贷款,有,抵押,是,无逾期,2013-04-12
380,1304007,36,男,已婚,中专,无,租房,是,108,800000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2013-04-15
381,1304008,29,男,已婚,小学,无,租房,是,156,500000,经营,12,0.0126,0.01638,无,有,抵押,是,无逾期,2013-04-12
382,1304009,46,男,已婚,小学,无,租房,是,204,500000,经营,12,0.0126,0.01638,无,有,抵押,是,无逾期,2013-04-12
383,1304010,63,女,已婚,小学,无,自有,是,96,1000000,经营,12,0.0141,0.01833,无,有,抵押,是,无逾期,2013-04-16
384,1304014,62,男,已婚,大专,无,自有,否,360,100000,经营,12,0.015,0.0195,无,无,担保,否,无逾期,2013-04-17
385,1304016,43,男,已婚,初中,无,自有,是,60,700000,经营,12,0.0126,0.01638,无,有,抵押,是,无逾期,2013-04-25
386,1304018,39,男,已婚,初中,无,租房,是,120,500000,经营,12,0.0126,0.01638,无,无,无,否,无逾期,2013-04-25
387,1304019,31,女,已婚,初中,无,租房,是,72,150000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2013-04-25
388,1304020,52,男,离异,初中,无,自有,是,180,100000,经营,12,0.0126,0.01638,无,无,担保,否,无逾期,2013-04-26
389,1305003,26,男,未婚,初中,无,租房,是,84,200000,经营,12,0.0126,0.01638,无,无,质押,否,无逾期,2013-05-15
390,1002002*,45,女,已婚,小学,无,自有,否,180,200000,房屋装修,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-02-01
391,1009005a,31,男,已婚,高中,无,自有,否,72,100000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-09-16
392,1009005b,32,男,已婚,高中,无,自有,否,24,400000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-09-21
